target,target_col,horizon,model,params_json,fold,rmse,mae,oos_r2_vs_persistence,row_count,train_end,test_start,test_end
Wage,wage_target_3,3,Ridge,"{""alpha"": 5.0}",1,0.6548265740558322,0.5180810871418967,-0.3615049696940851,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 5.0}",2,0.5654392090264219,0.4344531041013332,0.24152631149942405,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 5.0}",3,0.6435002482840108,0.5001813012546966,-0.04239097457955543,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 5.0}",4,0.6438945998384509,0.5165271446018,0.6443109677690912,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 10.0}",1,0.6462183000135188,0.51444878529099,-0.3259438849581482,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 10.0}",2,0.5649301056978128,0.4358102481113646,0.24289150739887677,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 10.0}",3,0.59424118975499,0.4612344993498713,0.11108812502247833,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,Ridge,"{""alpha"": 10.0}",4,0.626752314680573,0.5033267371424882,0.6629977493593653,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.001}",1,0.7818030134933541,0.6353565158323919,-0.9407130223010711,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.001}",2,0.824841008131291,0.6991904479004781,-0.6140209509156416,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.001}",3,0.9008690460858506,0.7982547831407453,-1.04294433980295,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.001}",4,0.8099216365384547,0.673053128412506,0.4372352194095829,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.005}",1,0.7887247449908433,0.6683825333431618,-0.975229542455021,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.005}",2,0.6090274649616813,0.48783912510245775,0.1200815267912454,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.005}",3,0.7496672950899095,0.6269957664812149,-0.41471948250903945,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.005}",4,0.6739783459740726,0.5403166739542565,0.6102978560176688,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.01}",1,0.752865028740157,0.6182692525797998,-0.7997031975662274,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.01}",2,0.6362642668615263,0.5114546391330094,0.03961858702655674,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.01}",3,0.6292223846525451,0.4913403073924365,0.0033526108200973015,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.01}",4,0.6543005562206126,0.5241374475844521,0.6327215159671811,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.02}",1,0.6259838876932816,0.4933270400440093,-0.24420788628789802,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.02}",2,0.6371754862505499,0.5135402907045881,0.03686581634382857,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.02}",3,0.5779378254490539,0.455403044990208,0.15919469362633742,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.02}",4,0.6370810452261334,0.5095769118719565,0.6517987899463019,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.05}",1,0.6191601789582425,0.489548197830291,-0.217230074265506,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.05}",2,0.6511090786429891,0.5347710136654646,-0.005717902351931148,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.05}",3,0.5256896727322206,0.4148188008519827,0.3043479080966781,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.05}",4,0.6132292009446095,0.48332775723206906,0.6773835096723523,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.1}",1,0.6250878421679571,0.4934535096625711,-0.24064846883360413,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.1}",2,0.6623191215992786,0.5467516478487191,-0.04064659193274123,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.1}",3,0.4906659126026085,0.39019143924042826,0.39395484933988356,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,Lasso,"{""alpha"": 0.1}",4,0.630427151231627,0.49723297543213296,0.6590342735267114,27,2017-02-01,2017-03-01,2019-05-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.001, ""l1_ratio"": 0.2}",1,0.7839498439810397,0.6443797907219269,-0.9513860492730288,27,2010-05-01,2010-06-01,2012-08-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.001, ""l1_ratio"": 0.2}",2,0.8035233107620927,0.67826618255588,-0.5316715300855834,27,2012-08-01,2012-09-01,2014-11-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.001, ""l1_ratio"": 0.2}",3,0.9039394163273817,0.801717069177019,-1.0568937251482793,27,2014-11-01,2014-12-01,2017-02-01
Wage,wage_target_3,3,ElasticNet,"{""alpha"": 0.001, ""l1_ratio"": 0.2}",4,0.815268824619524,0.6781945108410332,0.42977982484037924,27,2017-02-01,2017-03-01,2019-05-01
