target,target_col,horizon,model,test_end,rmse,mae,oos_r2,fold_count
CPI,cpi_target_6,6,RandomForest,2024-05-01,1.0352464216231336,1.0352464216231336,-1.9060382539096903,1
CPI,cpi_target_6,6,RandomForest,2024-12-01,0.678205476936308,0.678205476936308,-5.399662279628837,1
CPI,cpi_target_6,6,RandomForest,2025-08-01,0.43168738096158865,0.43168738096158865,-5.8775719814045235,1
CPI,cpi_target_6,6,Ridge,2024-03-01,0.6521760230954192,0.6521760230954192,-1.0268189149697813,1
CPI,cpi_target_6,6,Ridge,2024-05-01,0.3836993099378738,0.3836993099378738,0.6007950781442946,1
CPI,cpi_target_6,6,Ridge,2024-12-01,0.31075462735997084,0.31075462735997084,-0.34359902339640147,1
CPI,cpi_target_6,6,Ridge,2025-08-01,0.3422531942606786,0.3422531942606786,-3.3230619342896572,1
PCE,pce_target_6,6,ElasticNet,2025-02-01,0.509428967644896,0.509428967644896,-0.14793186739338382,1
PCE,pce_target_6,6,ElasticNet,2025-06-01,0.25648352936773877,0.25648352936773877,0.8674167089855098,1
PCE,pce_target_6,6,ElasticNet,2025-07-01,0.4141495572283942,0.4141495572283942,-1.4978537301051364,1
PCE,pce_target_6,6,GradientBoosting,2025-02-01,1.8776593512239934,1.8776593512239934,-14.594894753283791,1
PCE,pce_target_6,6,GradientBoosting,2025-06-01,0.9647263789320468,0.9647263789320468,-0.8757637564073584,1
PCE,pce_target_6,6,GradientBoosting,2025-07-01,0.5628981275676468,0.5628981275676468,-3.614367804393426,1
PCE,pce_target_6,6,Huber,2025-02-01,0.28407573589786717,0.28407573589786717,0.6430419997489932,1
PCE,pce_target_6,6,Huber,2025-06-01,0.2443962198222387,0.2443962198222387,0.879618763193658,1
PCE,pce_target_6,6,Huber,2025-07-01,0.42644561585514307,0.42644561585514307,-1.6483776146369529,1
PCE,pce_target_6,6,OLS,2025-02-01,0.47260224516903016,0.47260224516903016,0.012037637167041648,1
PCE,pce_target_6,6,OLS,2025-06-01,0.3438410142274102,0.3438410142274102,0.7617213170458164,1
PCE,pce_target_6,6,OLS,2025-07-01,0.4658719588538549,0.4658719588538549,-2.1607179439412505,1
PCE,pce_target_6,6,Persistence,2025-02-01,0.47547269356105204,0.47547269356105204,0.0,1
PCE,pce_target_6,6,Persistence,2025-06-01,0.7043930847597579,0.7043930847597579,0.0,1
PCE,pce_target_6,6,Persistence,2025-07-01,0.26204368600559746,0.26204368600559746,0.0,1
PCE,pce_target_6,6,RandomForest,2025-02-01,1.888019163007562,1.888019163007562,-14.7674562682166,1
PCE,pce_target_6,6,RandomForest,2025-06-01,0.9361415908875927,0.9361415908875927,-0.7662530043132914,1
PCE,pce_target_6,6,RandomForest,2025-07-01,0.5895359376606368,0.5895359376606368,-4.061429237716419,1
PCE,pce_target_6,6,Ridge,2025-02-01,0.6515431967358891,0.6515431967358891,-0.8777391786997251,1
