model_name,target_name,fold_name,rmse_value,mae_value,row_count
OLS,wage_target_12,4,2.563214156468759,2.361163794340752,34
Ridge,wage_target_12,4,2.617375110572622,2.4292942911156263,34
ElasticNet,wage_target_12,4,2.0452980104032554,1.9311562200242056,34
ARIMAX,wage_target_12,4,1.863283591598543,1.7094438532068208,34
Persistence,wage_target_12,5,0.3943435241054051,0.34998285965289166,34
OLS,wage_target_12,5,1.6608743347180914,1.508482391137718,34
Ridge,wage_target_12,5,1.5267408308171746,1.4066528372564568,34
ElasticNet,wage_target_12,5,1.023361565186844,0.9893825068926214,34
ARIMAX,wage_target_12,5,1.0061435293627585,0.9288902710201647,34
Persistence,wage_target_3,1,0.17563677617678167,0.1457867825504446,35
OLS,wage_target_3,1,0.3364304917557669,0.2760631709162298,35
Ridge,wage_target_3,1,0.319299707638541,0.24278312475448272,35
ElasticNet,wage_target_3,1,0.2996811667450262,0.23168340954186745,35
ARIMAX,wage_target_3,1,0.318509742920105,0.27233108091033953,35
Persistence,wage_target_3,2,0.36964626497943187,0.31483107660076115,35
OLS,wage_target_3,2,0.1602166061540275,0.12782764731996932,35
Ridge,wage_target_3,2,0.14522472170384898,0.12094891040301639,35
ElasticNet,wage_target_3,2,0.15321205425109877,0.1263724584949152,35
ARIMAX,wage_target_3,2,0.31183066746790217,0.25555642664726214,35
Persistence,wage_target_3,3,1.274292061992703,0.7865047099454939,35
OLS,wage_target_3,3,1.0694117986054386,0.4278311670089276,35
Ridge,wage_target_3,3,1.054013548487411,0.42660466748148007,35
ElasticNet,wage_target_3,3,1.0021701176220363,0.36427998195389305,35
ARIMAX,wage_target_3,3,1.0090762262763193,0.4397525511015049,35
Persistence,wage_target_3,4,1.9294079950757248,1.6947114511592674,35
OLS,wage_target_3,4,1.2727343137026916,1.0770685394441097,35
Ridge,wage_target_3,4,1.2827704017645734,1.0821583487112187,35
ElasticNet,wage_target_3,4,1.1889285387141253,0.9650684067472357,35
ARIMAX,wage_target_3,4,1.2029217531750955,0.9453132459115622,35
Persistence,wage_target_3,5,0.5813191117340322,0.5310044690818508,35
OLS,wage_target_3,5,0.47552260719802025,0.41180456673351556,35
Ridge,wage_target_3,5,0.3574933640560816,0.3057569726531002,35
ElasticNet,wage_target_3,5,0.2837916727772396,0.23707205785687294,35
ARIMAX,wage_target_3,5,0.49092015213846296,0.4302863921088124,35
Persistence,wage_target_6,1,0.17563677617678167,0.1457867825504446,35
OLS,wage_target_6,1,0.5980210572454074,0.5326408487921976,35
Ridge,wage_target_6,1,0.5654087655119345,0.4464705326632273,35
ElasticNet,wage_target_6,1,0.4799531058786586,0.39629907834841205,35
ARIMAX,wage_target_6,1,0.4676831838157935,0.3827261423775139,35
Persistence,wage_target_6,2,0.36964626497943187,0.31483107660076115,35
OLS,wage_target_6,2,0.23953942532598357,0.20375681417294336,35
Ridge,wage_target_6,2,0.17420333414201938,0.13966769760257017,35
ElasticNet,wage_target_6,2,0.1452841634302577,0.1155748759866011,35
ARIMAX,wage_target_6,2,0.1981649524253361,0.1532368250449959,35
Persistence,wage_target_6,3,1.274292061992703,0.7865047099454939,35
OLS,wage_target_6,3,0.9659683740936564,0.5030697349597686,35
Ridge,wage_target_6,3,0.9562185696916576,0.44230480322878724,35
ElasticNet,wage_target_6,3,0.9643618751300674,0.41330628743921954,35
ARIMAX,wage_target_6,3,0.9879325986315332,0.5878721015666373,35
Persistence,wage_target_6,4,1.9294079950757248,1.6947114511592674,35
OLS,wage_target_6,4,1.3959631861217672,1.0823990206368683,35
Ridge,wage_target_6,4,1.4302179078496127,1.0738381148786447,35
ElasticNet,wage_target_6,4,1.4926589927872496,1.3062489991344246,35
ARIMAX,wage_target_6,4,1.5568095611793444,1.2706604290336674,35
Persistence,wage_target_6,5,0.5813191117340322,0.5310044690818508,35
OLS,wage_target_6,5,1.4218879705029286,1.3411201012267486,35
Ridge,wage_target_6,5,1.1797716251284351,1.1240609243330661,35
ElasticNet,wage_target_6,5,0.4995084270329014,0.4097481305897563,35
ARIMAX,wage_target_6,5,0.757908214895568,0.6709810633126825,35
