target,target_col,horizon,model,regime,rmse,mae,oos_r2,row_count,train_end,test_start,test_end,fold_id
CPI,cpi_target_6,6,GradientBoosting,post,0.46421164674920234,0.46421164674920234,-6.952954578438386,1,2024-12-01,2025-08-01,2025-08-01,4
PCE,pce_target_6,6,Persistence,post,0.47547269356105204,0.47547269356105204,0.0,1,2024-10-01,2025-02-01,2025-02-01,1
PCE,pce_target_6,6,OLS,post,0.47260224516903016,0.47260224516903016,0.012037637167041648,1,2024-10-01,2025-02-01,2025-02-01,1
PCE,pce_target_6,6,Ridge,post,0.6515431967358891,0.6515431967358891,-0.8777391786997251,1,2024-10-01,2025-02-01,2025-02-01,1
PCE,pce_target_6,6,ElasticNet,post,0.509428967644896,0.509428967644896,-0.14793186739338382,1,2024-10-01,2025-02-01,2025-02-01,1
PCE,pce_target_6,6,Huber,post,0.28407573589786717,0.28407573589786717,0.6430419997489932,1,2024-10-01,2025-02-01,2025-02-01,1
PCE,pce_target_6,6,RandomForest,post,1.888019163007562,1.888019163007562,-14.7674562682166,1,2024-10-01,2025-02-01,2025-02-01,1
PCE,pce_target_6,6,GradientBoosting,post,1.8776593512239934,1.8776593512239934,-14.594894753283791,1,2024-10-01,2025-02-01,2025-02-01,1
PCE,pce_target_6,6,Persistence,post,0.7043930847597579,0.7043930847597579,0.0,1,2025-02-01,2025-06-01,2025-06-01,2
PCE,pce_target_6,6,OLS,post,0.3438410142274102,0.3438410142274102,0.7617213170458164,1,2025-02-01,2025-06-01,2025-06-01,2
PCE,pce_target_6,6,Ridge,post,0.21258440728298655,0.21258440728298655,0.9089179816873633,1,2025-02-01,2025-06-01,2025-06-01,2
PCE,pce_target_6,6,ElasticNet,post,0.25648352936773877,0.25648352936773877,0.8674167089855098,1,2025-02-01,2025-06-01,2025-06-01,2
PCE,pce_target_6,6,Huber,post,0.2443962198222387,0.2443962198222387,0.879618763193658,1,2025-02-01,2025-06-01,2025-06-01,2
PCE,pce_target_6,6,RandomForest,post,0.9361415908875927,0.9361415908875927,-0.7662530043132914,1,2025-02-01,2025-06-01,2025-06-01,2
PCE,pce_target_6,6,GradientBoosting,post,0.9647263789320468,0.9647263789320468,-0.8757637564073584,1,2025-02-01,2025-06-01,2025-06-01,2
PCE,pce_target_6,6,Persistence,post,0.26204368600559746,0.26204368600559746,0.0,1,2025-06-01,2025-07-01,2025-07-01,3
PCE,pce_target_6,6,OLS,post,0.4658719588538549,0.4658719588538549,-2.1607179439412505,1,2025-06-01,2025-07-01,2025-07-01,3
PCE,pce_target_6,6,Ridge,post,0.39110763436774176,0.39110763436774176,-1.227640921870084,1,2025-06-01,2025-07-01,2025-07-01,3
PCE,pce_target_6,6,ElasticNet,post,0.4141495572283942,0.4141495572283942,-1.4978537301051364,1,2025-06-01,2025-07-01,2025-07-01,3
PCE,pce_target_6,6,Huber,post,0.42644561585514307,0.42644561585514307,-1.6483776146369529,1,2025-06-01,2025-07-01,2025-07-01,3
PCE,pce_target_6,6,RandomForest,post,0.5895359376606368,0.5895359376606368,-4.061429237716419,1,2025-06-01,2025-07-01,2025-07-01,3
PCE,pce_target_6,6,GradientBoosting,post,0.5628981275676468,0.5628981275676468,-3.614367804393426,1,2025-06-01,2025-07-01,2025-07-01,3
PCE,pce_target_12,12,Persistence,post,0.6006460731616088,0.5915903207546277,0.0,3,2022-06-01,2023-04-01,2024-07-01,1
PCE,pce_target_12,12,OLS,post,13.791974535726345,13.775443155755724,-526.2488109650351,3,2022-06-01,2023-04-01,2024-07-01,1
PCE,pce_target_12,12,Ridge,post,1.2249487859539763,1.0138195241783183,-3.1590924958756563,3,2022-06-01,2023-04-01,2024-07-01,1
PCE,pce_target_12,12,ElasticNet,post,1.1319953125294249,0.9805777718442429,-2.5518283773082255,3,2022-06-01,2023-04-01,2024-07-01,1
PCE,pce_target_12,12,Huber,post,1.2069795519685085,1.034377446522307,-3.037964912422515,3,2022-06-01,2023-04-01,2024-07-01,1
PCE,pce_target_12,12,RandomForest,post,2.9437463733049767,2.941911982495789,-23.019474109087152,3,2022-06-01,2023-04-01,2024-07-01,1
PCE,pce_target_12,12,GradientBoosting,post,2.9304380736767257,2.9285953469300368,-22.80278710504474,3,2022-06-01,2023-04-01,2024-07-01,1
